Stock,SecurityName,Sector,Industry,MarketCapCr,MarketCapType
AMJLAND,AMJ LAND HOLDINGS LIMITED,Real Estate,Real Estate - Development,199.55,Micro Cap
AMNPLST,AMINES & PLASTICIZERS LTD,Basic Materials,Chemicals,1006.98,Micro Cap
AMRUTANJAN,AMRUTAJAN HEALTH LTD     ,Healthcare,Drug Manufacturers - Specialty & Generic,1767.45,Micro Cap
ANANDRATHI,ANAND RATHI WEALTH LTD   ,Financial Services,Asset Management,25605.22,Small Cap
ANANTRAJ,ANANT RAJ LIMITED        ,Real Estate,Real Estate - Development,19865.21,Small Cap
ANDHRAPAP,ANDHRA PAPER LIMITED     ,Basic Materials,Paper & Paper Products,1289.15,Micro Cap
ANDHRSUGAR,ANDHRA SUGARS LTD        ,Basic Materials,Chemicals,965.42,Micro Cap
ANGELONE,ANGEL ONE LIMITED        ,Financial Services,Capital Markets,22940.57,Small Cap
ANIKINDS,ANIK INDUSTRIES LTD      ,Consumer Defensive,Food Distribution,123.67,Micro Cap
ANMOL,ANMOL INDIA LIMITED      ,Energy,Thermal Coal,76.49,Micro Cap
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,Energy,Oil & Gas E&P,1551.54,Micro Cap
ANTGRAPHIC,ANTARCTICA LTD           ,Consumer Cyclical,Packaging & Containers,15.5,Micro Cap
ANTHEM,ANTHEM BIOSCIENCES LTD   ,Healthcare,Biotechnology,34977.07,Small Cap
ANUHPHR,ANUH PHARMA LIMITED      ,Healthcare,Drug Manufacturers - Specialty & Generic,759.9,Micro Cap
ANUP,THE ANUP ENGINEERING LTD ,Industrials,Specialty Industrial Machinery,4010.1,Micro Cap
ANURAS,ANUPAM RASAYAN INDIA LTD ,Basic Materials,Specialty Chemicals,15042.78,Small Cap
APARINDS,APAR INDUSTRIES LTD.     ,Industrials,Electrical Equipment & Parts,30037.87,Small Cap
APCL,ANJANI PORTLAND CEM LTD  ,Basic Materials,Building Materials,410.95,Micro Cap
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,Basic Materials,Specialty Chemicals,1831.68,Micro Cap
APEX,APEX FROZEN FOODS LIMITED,Consumer Defensive,Farm Products,853.28,Micro Cap
APLAPOLLO,APL APOLLO TUBES LTD     ,Basic Materials,Steel,53714.24,Mid Cap
APLLTD,ALEMBIC PHARMA LTD       ,Healthcare,Drug Manufacturers - Specialty & Generic,15526.52,Small Cap
APOLLO,APOLLO MICRO SYSTEMS LTD ,Industrials,Aerospace & Defense,8318.02,Small Cap
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,Healthcare,Medical Care Facilities,104567.39,Mid Cap
APOLLOPIPE,APOLLO PIPES LIMITED     ,Industrials,Building Products & Equipment,1278.5,Micro Cap
APOLLOTYRE,APOLLO TYRES LTD         ,Consumer Cyclical,Auto Parts,33530.15,Small Cap
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,Industrials,Specialty Business Services,340.26,Micro Cap
APTECHT,APTECH LIMITED           ,Consumer Defensive,Education & Training Services,508.31,Micro Cap
APTUS,APTUS VALUE HSG FIN I LTD,Financial Services,Mortgage Finance,13534.54,Small Cap
ARCHIDPLY,ARCHIDPLY IND. LTD       ,Basic Materials,Lumber & Wood Production,172.23,Micro Cap
ARCHIES,ARCHIES LTD              ,Consumer Cyclical,Specialty Retail,58.03,Micro Cap
ARE&M,AMARA RAJA ENERGY MOB LTD,Industrials,Electrical Equipment & Parts,15998.25,Small Cap
ARENTERP,RAJDARSHAN INDUSTRIES LTD,Basic Materials,Other Industrial Metals & Mining,13.94,Micro Cap
ARFIN,ARFIN INDIA LIMITED      ,Basic Materials,Aluminum,1366.82,Micro Cap
ARIES,ARIES AGRO LTD.          ,Basic Materials,Agricultural Inputs,405.8,Micro Cap
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD ,Financial Services,Capital Markets,923.63,Micro Cap
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD  ,Real Estate,Real Estate - Development,1335.56,Micro Cap
ARISINFRA,ARISINFRA SOLUTIONS LTD  ,Industrials,Engineering & Construction,1052.19,Micro Cap
ARKADE,ARKADE DEVELOPERS LIMITED,Real Estate,Real Estate - Development,2350.32,Micro Cap
ARMANFIN,ARMAN FIN SERV LTD       ,Financial Services,Credit Services,1608.27,Micro Cap
AROGRANITE,ARO GRANITE IND. LTD.    ,Industrials,Building Products & Equipment,43.94,Micro Cap
ARROWGREEN,ARROW GREENTECH LIMITED  ,Consumer Cyclical,Packaging & Containers,721.58,Micro Cap
ARSSBL,ANAND RATHI SH N STK BR L,Financial Services,Financial Conglomerates,3968.63,Micro Cap
ARTEMISMED,ARTEMIS MED SERVICE LTD  ,,,4115.59,Micro Cap
ARTNIRMAN,ART NIRMAN LIMITED       ,Real Estate,Real Estate - Development,117.29,Micro Cap
ARVIND,ARVIND LIMITED           ,Consumer Cyclical,Textile Manufacturing,7995.81,Small Cap
